"id";"nome";"instituicao_id";"telefone";"instituicao";"endereco";"bairro";"bairro_zona";"area_construida";"area_terrestre";"coordinates_x";"coordinates_y";"matriculas_qtd";"fundamental_qtd";"infantil_qtd";"professores_qtd";"auxiliares_qtd";"coordenador_qtd";"ativo";"anexo";"modalidade_fund";"modalidade_inf"
1;CEPEJA I;1;"8803-8615";CEPEJA I;RUA CASTELO BRANCO;RIO VERDE;URBANA;448.14;601.82;-49.89252626746018;-6.078339576041472;594;594;;18;;1;true;false;true;false
2;CEPEJA II CASTRO ALVES;2;"99183-1435";CEPEJA II CASTRO ALVES;AVENIDA HAVANA;VILA RICA;URBANA;283.96;361.8;-49.89340422929599;-6.043646590899726;547;547;;9;;1;true;false;true;false
3;CEPEJA III;3;"99113-3803";CEPEJA III;VS10;VS 10;URBANA;;;;;229;229;;11;;;true;false;true;false
4;E.M.E.F. 18 DE OUTUBRO;4;TELEFONE NÃO INFORMADO;E.M.E.F. 18 DE OUTUBRO;ASSENTAMENTO CARAJÁS – CARLOS FONSECA;REGIÃO RURAL;RURAL;;;;;262;249;13;11;2;3;true;false;true;true
5;E.M.E.F. 21 DE ABRIL;5;TELEFONE NÃO INFORMADO;E.M.E.F. 21 DE ABRIL;ACAMPAMENTO TAPETE VERDE;REGIÃO RURAL;RURAL;;;;;35;26;9;2;1;2;true;false;true;true
6;E.M.E.F. ALEGRIA DO SABER;6;"98141-2908";E.M.E.F. ALEGRIA DO SABER;AV. MOGNO S/N  - VILA SANSÃO;REGIÃO RURAL;RURAL;;;;;310;273;37;15;9;2;true;false;true;true
7;E.M.E.F. ANTONIO MATOS FILHO;7;"99170-3027";E.M.E.F. ANTONIO MATOS FILHO;AVENIDA SANTA MARIA;GUANABARA;URBANA;3289.15;5791.47;-49.89259657948869;-6.0914061543157345;1121;1121;;36;22;3;true;false;true;false
8;E.M.E.F. ANTONIO VILHENA;8;"99106-0793";E.M.E.F. ANTONIO VILHENA;AV. PRINCEPE QD. ESPECIAL ;CEDERE I;RURAL;;;;;685;594;91;12;6;3;true;false;true;true
9;E.M.E.F. BENEDICTO MONTEIRO;9;"98178-5815";E.M.E.F. BENEDICTO MONTEIRO;RUA MANÉ GARRINCHA;GUANABARA;URBANA;784.24;448.86;-49.88341818830354;-6.090831042313269;724;724;;34;6;2;true;false;true;false
10;E.M.E.F. BEP-KAROTI XIKRIN  ;10;"99147-7101 e 98142-4943";E.M.E.F. BEP - KAROTI XIKRIN  ;TERRA INDÍGENA KATETÉ – ALDEIA KATETÉ;ALDEIA INDÍGENA;INDÍGENA;;;;;212;195;17;15;;2;true;false;true;true
11;E.M.E.F. BEP -TUM XIKRIN ;11;"99147-7101 e 98142-4945";E.M.E.F. BEP -TUM XIKRIN ;TERRA ALDEIA INDÍGENA - ALDEIA O DJÀ ;ALDEIA INDÍGENA;INDÍGENA;;;;;183;172;11;12;;;true;false;true;true
12;E.M.E.F. CARLOS DRUMMOND DE ANDRADE;12;"99179-5564";E.M.E.F. CARLOS DRUMMOND DE ANDRADE;RUA SANTA RITA;RIO VERDE;URBANA;2802.63;2627.57;-49.89045931993421;-6.078681770858424;741;741;;24;;2;true;false;true;false
13;E.M.E.F. CARLOS HENRIQUE II;13;"98111-7798";E.M.E.F. CARLOS HENRIQUE II;AVENIDA LAURO CORONA;DA PAZ;URBANA;2773.8;4159.86;-49.88709740244146;-6.078670653164565;936;936;;37;14;3;true;false;true;false
14;E.M.E.F. CECÍLIA MEIRELES;14;"8181-7171";E.M.E.F. CECÍLIA MEIRELES;RUA L;UNIÃO;URBANA;4208.94;5633.46;-49.903221973000136;-6.0721451941189315;706;706;;20;12;3;true;false;true;false
15;E.M.E.F. CHICO MENDES II;15;"99249-2412";E.M.E.F. CHICO MENDES II;RUA B;CIDADE NOVA;URBANA;6207.45;16751.94;-49.906338532876475;-6.0651932716708785;849;849;;38;19;3;true;false;true;false
16;E.M.E.F. DOMINGOS CARDOSO DA SILVA;16;"98135-0445";E.M.E.F. DOMINGOS CARDOSO DA SILVA;RUA EPÍSTOLA AOS FILIPENSES;ALTO BONITO;URBANA;3212.87;10489.99;-49.88568653308835;-6.0501898991997365;1467;1467;;57;26;4;true;false;true;false
17;E.M.E.F. DOROTY STANG;17;"99302-8326";E.M.E.F. DOROTY STANG;AVENIDA B;CIDADE JARDIM;URBANA;3932.13;8001.48;-49.85334281159821;-6.077676391700493;1641;1641;;48;26;5;true;false;true;false
18;E.M.E.F. EDUARDO ANGELIM;18;"99130-8586";E.M.E.F. EDUARDO ANGELIM;RUA RIO DE JANEIRO;RIO VERDE;URBANA;2616.34;6904.86;-49.90009864387358;-6.076336619438422;880;880;;31;16;3;true;false;true;false
